time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1970-10-25T19:55:28.080Z,21.0795,-156.7811667,2.51,4.93,ml,18,195,,0.12,hv,hv19703519,2020-03-31T19:57:38.680Z,"3 km SW of Waialua, Hawaii",earthquake,3.28,2.09,0.28,4,reviewed,hv,hv
1970-10-29T17:47:31.080Z,19.53,-156.4283333,9.508,4.06,ml,21,257,,0.08,hv,hv19703585,2020-03-31T19:57:48.260Z,"46 km WSW of Kailua-Kona, Hawaii",earthquake,2.94,4.57,0.17,4,reviewed,hv,hv
1970-10-31T04:50:59.480Z,19.3256667,-155.1075,8.033,3.07,ml,20,208,,0.09,hv,hv19703595,2020-03-31T19:57:49.700Z,"15 km S of Fern Forest, Hawaii",earthquake,0.87,0.82,0.11,2,reviewed,hv,hv
1970-11-12T03:12:41.940Z,19.2011667,-155.3465,34.743,3.79,ml,18,223,,0.07,hv,hv19703665,2020-03-31T16:29:04.180Z,"13 km E of P?hala, Hawaii",earthquake,1.45,1.19,0.16,4,reviewed,hv,hv
1970-11-13T05:46:14.070Z,20.105,-155.8215,13.258,4.32,ml,23,150,,0.08,hv,hv19703673,2020-03-31T16:29:05.320Z,"14 km S of Kapaau, Hawaii",earthquake,0.75,1.08,0.14,4,reviewed,hv,hv
1970-11-13T05:57:19.540Z,20.1191667,-155.8221667,13.58,3.16,ml,20,150,,0.1,hv,hv19703674,2020-03-31T16:29:05.490Z,"12 km S of Kapaau, Hawaii",earthquake,0.82,1.18,0.18,4,reviewed,hv,hv
1970-11-13T07:36:00.150Z,20.1253333,-155.813,9.07,3.26,ml,19,152,,0.06,hv,hv19703676,2020-03-31T16:29:43.300Z,"12 km S of Kapaau, Hawaii",earthquake,1.05,2.26,0.07,4,reviewed,hv,hv
1970-11-16T14:02:51.500Z,19.3368333,-155.1133333,-0.567,3.54,ml,18,200,,0.1,hv,hv19703705,2020-03-31T16:29:47.320Z,"14 km S of Fern Forest, Hawaii",earthquake,0.97,0.29,,4,reviewed,hv,hv
1970-11-18T16:07:58.830Z,19.8988333,-155.7521667,-0.48,3.38,ml,19,129,,0.11,hv,hv19703729,2020-03-31T16:29:50.690Z,"5 km SE of Waikoloa, Hawaii",earthquake,0.75,1.39,0.1,3,reviewed,hv,hv
1970-11-29T02:44:27.090Z,20.8653333,-154.9348333,15.535,3.25,ml,19,272,,0.14,hv,hv19703797,2020-03-31T16:30:00.500Z,"101 km NNE of Pa‘auilo, Hawaii",earthquake,2.2,14.51,0.39,2,reviewed,hv,hv
1970-12-05T02:45:31.380Z,19.2256667,-155.3685,-0.172,3.26,ml,16,221,,0.11,hv,hv19703878,2020-03-31T16:40:29.070Z,"11 km ENE of P?hala, Hawaii",earthquake,1.36,0.5,0.33,2,reviewed,hv,hv
1970-12-05T07:50:40.730Z,19.2016667,-155.346,4.759,3.24,ml,18,223,,0.11,hv,hv19703884,2020-03-31T16:40:29.950Z,"13 km E of P?hala, Hawaii",earthquake,1.19,0.98,0.29,2,reviewed,hv,hv
1970-12-06T02:34:31.620Z,19.1038333,-155.6991667,11.376,3.17,ml,14,272,,0.08,hv,hv19703904,2020-03-31T16:40:32.790Z,"7 km ENE of Hawaiian Ocean View, Hawaii",earthquake,1.97,1.53,0.04,2,reviewed,hv,hv
1970-12-06T03:59:45.590Z,19.387,-155.6171667,11.498,3.92,ml,18,116,,0.09,hv,hv19703905,2020-03-31T16:40:32.930Z,"25 km NW of P?hala, Hawaii",earthquake,0.74,0.73,0.29,3,reviewed,hv,hv
1970-12-08T20:59:15.450Z,20.0238333,-155.8333333,0.023,3.09,ml,18,143,,0.18,hv,hv19703935,2020-03-31T16:40:37.210Z,"5 km N of Puako, Hawaii",earthquake,1.77,10.79,,1,reviewed,hv,hv
1970-12-11T06:28:06.250Z,19.3906667,-155.3773333,7.725,3.72,ml,15,96,,0.09,hv,hv19703960,2020-03-31T16:40:41.890Z,"16 km WSW of Volcano, Hawaii",earthquake,0.51,0.83,,4,reviewed,hv,hv
1970-12-12T11:38:33.580Z,19.6235,-156.3715,23.308,3.02,ml,13,302,,0.18,hv,hv19703970,2020-03-31T16:40:43.290Z,"39 km W of Kailua-Kona, Hawaii",earthquake,3.21,14.17,0.01,2,reviewed,hv,hv
1970-12-13T18:02:05.270Z,19.6943333,-156.1606667,37.73,3.46,ml,20,285,,0.1,hv,hv19704005,2020-03-31T16:47:49.430Z,"17 km WNW of Kailua-Kona, Hawaii",earthquake,1.58,2.31,0.11,5,reviewed,hv,hv
1970-12-16T12:30:32.490Z,19.5193333,-155.8435,24.5,3,ml,17,128,,0.09,hv,hv19704059,2020-03-31T16:47:57.190Z,"7 km NNE of Honaunau-Napoopoo, Hawaii",earthquake,0.87,2.44,0.07,2,reviewed,hv,hv
1970-12-17T21:22:43.070Z,19.8343333,-155.4853333,14.35,3.11,ml,18,150,,0.07,hv,hv19704077,2020-03-31T16:48:00.100Z,"25 km SSW of Pa‘auilo, Hawaii",earthquake,1.23,1.04,0.05,2,reviewed,hv,hv
1970-12-21T03:58:27.420Z,19.2306667,-155.5223333,32.085,3,ml,17,208,,0.07,hv,hv19704090,2020-03-31T16:48:01.990Z,"Island of Hawaii, Hawaii",earthquake,1.11,1.72,0.05,1,reviewed,hv,hv
1970-12-21T06:44:17.260Z,20.2016667,-155.221,11.61,3.04,ml,18,269,,0.12,hv,hv19704091,2020-03-31T16:48:02.130Z,"23 km NE of Pa‘auilo, Hawaii",earthquake,3.41,6.39,0.06,2,reviewed,hv,hv
1970-12-21T12:13:33.190Z,19.5568333,-155.6111667,5.61,3.81,ml,18,91,,0.11,hv,hv19704092,2020-03-31T16:48:02.290Z,"28 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.61,3.54,0.2,2,reviewed,hv,hv
1970-12-26T01:43:11.690Z,19.4101667,-155.2681667,0.981,3.16,ml,16,82,,0.24,hv,hv19704197,2020-03-31T16:48:35.380Z,"5 km SW of Volcano, Hawaii",earthquake,0.65,0.56,0.42,2,reviewed,hv,hv
1970-12-26T05:07:46.100Z,19.4325,-155.2501667,0.241,3.05,ml,13,192,,0.13,hv,hv19704203,2020-03-31T16:48:36.240Z,"2 km SW of Volcano, Hawaii",earthquake,0.58,1.12,0.02,1,reviewed,hv,hv
1970-12-26T05:12:03.350Z,19.4271667,-155.2515,-0.079,3.06,ml,12,188,,0.06,hv,hv19704204,2020-03-31T16:48:36.380Z,"2 km SW of Volcano, Hawaii",earthquake,0.46,0.77,0.11,1,reviewed,hv,hv
1970-12-27T23:01:31.000Z,19.9803333,-155.3785,10.14,3.19,ml,16,215,,0.09,hv,hv19704239,2020-03-31T16:49:16.350Z,"6 km S of Pa‘auilo, Hawaii",earthquake,1.44,0.73,0.19,2,reviewed,hv,hv
1971-01-01T11:29:34.040Z,20.2321667,-156.8013333,32.49,3.87,ml,20,186,,0.09,hv,hv19710002,2020-03-31T18:21:17.810Z,"59 km SW of M?kena, Hawaii",earthquake,0.93,2.26,0.27,4,reviewed,hv,hv
1971-01-01T11:31:02.200Z,22.4075,-156.2146667,37.92,3.48,ml,8,341,,0.75,hv,hv19710003,2020-03-31T18:21:17.950Z,"155 km NNE of Waialua, Hawaii",earthquake,57.54,25.72,,3,reviewed,hv,hv
1971-01-02T22:46:52.420Z,19.3925,-155.2856667,1.671,3.03,ml,13,91,,0.1,hv,hv19710034,2020-03-31T18:21:22.310Z,"7 km SW of Volcano, Hawaii",earthquake,0.46,0.3,0.01,1,reviewed,hv,hv
1971-01-17T04:10:20.120Z,20.0836667,-155.3366667,4.43,3.07,ml,16,248,,0.1,hv,hv19710222,2020-03-31T18:08:27.480Z,"5 km NE of Pa‘auilo, Hawaii",earthquake,3.08,1.47,0.26,0,reviewed,hv,hv
1971-01-19T10:40:46.640Z,19.977,-155.4113333,7.237,3.35,ml,11,215,,0.08,hv,hv19710228,2020-03-31T18:08:28.340Z,"8 km SSW of Pa‘auilo, Hawaii",earthquake,1.55,2.42,0.04,0,reviewed,hv,hv
1971-01-19T20:08:46.690Z,20.4726667,-156.0535,4.718,3.48,ml,14,330,,0.1,hv,hv19710230,2020-03-31T18:08:28.630Z,"32 km SSW of Hana, Hawaii",earthquake,8.66,11.1,0.13,1,reviewed,hv,hv
1971-01-23T13:47:56.140Z,19.0916667,-155.7531667,3.926,3.1,ml,16,300,,0.14,hv,hv19710260,2020-03-31T18:08:32.840Z,"2 km NNE of Hawaiian Ocean View, Hawaii",earthquake,2.58,0.9,0.1,1,reviewed,hv,hv
1971-01-24T12:12:34.660Z,19.1985,-156.0503333,7.682,3.76,ml,15,321,,0.12,hv,hv19710272,2020-03-31T18:08:34.900Z,"33 km WNW of Hawaiian Ocean View, Hawaii",earthquake,2.54,1.71,0.2,1,reviewed,hv,hv
1971-01-27T01:50:37.490Z,19.679,-155.069,6.3,3.45,ml,15,214,,0.13,hv,hv19710293,2020-03-31T18:08:38.530Z,"6 km SSE of Hilo, Hawaii",earthquake,1.33,13.65,0.84,0,reviewed,hv,hv
1971-01-29T12:36:47.310Z,19.3391667,-155.2075,6.903,3.15,ml,13,243,,0.09,hv,hv19710306,2020-03-31T18:09:33.050Z,"Island of Hawaii, Hawaii",earthquake,1.73,0.7,0.04,0,reviewed,hv,hv
1971-02-03T11:56:05.360Z,19.3483333,-155.0106667,7.345,3.97,ml,18,219,,0.12,hv,hv19710355,2020-03-31T16:50:18.560Z,"16 km SW of Leilani Estates, Hawaii",earthquake,0.94,1.31,0.09,3,reviewed,hv,hv
1971-02-04T22:11:32.860Z,19.5351667,-155.1901667,28.999,3.25,ml,16,176,,0.06,hv,hv19710368,2020-03-31T16:50:20.390Z,"8 km WSW of Mountain View, Hawaii",earthquake,1.53,2.18,,0,reviewed,hv,hv
1971-02-06T17:55:24.450Z,19.5431667,-155.1646667,26.509,3.71,ml,18,148,,0.07,hv,hv19710385,2020-03-31T16:50:22.820Z,"6 km WSW of Mountain View, Hawaii",earthquake,0.87,1.69,0.14,0,reviewed,hv,hv
1971-02-09T08:04:38.730Z,19.3273333,-155.111,8.073,3.4,ml,17,207,,0.11,hv,hv19710409,2020-03-31T16:50:26.170Z,"15 km S of Fern Forest, Hawaii",earthquake,1.08,0.91,0.1,2,reviewed,hv,hv
1971-02-11T22:28:51.380Z,21.0795,-155.6073333,28.26,3.69,ml,19,339,,0.08,hv,hv19710432,2020-03-31T16:50:29.510Z,"53 km NE of Hana, Hawaii",earthquake,3.91,9.14,0.33,3,reviewed,hv,hv
1971-02-13T19:40:34.460Z,19.408,-155.4121667,10.973,3.71,ml,18,124,,0.08,hv,hv19710450,2020-03-31T16:40:48.070Z,"19 km WSW of Volcano, Hawaii",earthquake,0.56,0.48,0.28,0,reviewed,hv,hv
1971-02-17T02:09:00.040Z,19.3468333,-155.4208333,10.288,3.23,ml,16,127,,0.11,hv,hv19710484,2020-03-31T16:40:52.960Z,"17 km NNE of P?hala, Hawaii",earthquake,0.76,0.81,0.18,0,reviewed,hv,hv
1971-02-17T07:03:07.390Z,19.1346667,-155.6225,12.516,3.24,ml,17,261,,0.09,hv,hv19710488,2020-03-31T16:40:53.550Z,"7 km N of Wai‘?hinu, Hawaii",earthquake,1.83,1.06,0.04,1,reviewed,hv,hv
1971-02-20T04:56:44.310Z,19.454,-155.7456667,4.565,3.07,ml,15,151,,0.17,hv,hv19710517,2020-03-31T16:40:57.770Z,"12 km E of Honaunau-Napoopoo, Hawaii",earthquake,1.41,3.71,0.04,0,reviewed,hv,hv
1971-02-20T07:44:55.360Z,19.8371667,-155.7868333,14.873,3.48,ml,18,258,,0.11,hv,hv19710520,2020-03-31T16:40:58.220Z,"11 km S of Waikoloa, Hawaii",earthquake,3.32,15.31,0.07,0,reviewed,hv,hv
1971-02-26T16:53:15.050Z,20.1818333,-156.3051667,5.734,3.51,ml,19,314,,0.1,hv,hv19710553,2020-03-31T16:41:02.930Z,"49 km W of H?w?, Hawaii",earthquake,8.79,10.87,0.07,0,reviewed,hv,hv
1971-03-07T19:53:51.180Z,19.302,-155.3163333,31.619,3.25,ml,20,100,,0.05,hv,hv19710609,2020-03-31T16:48:46.230Z,"17 km SSW of Volcano, Hawaii",earthquake,0.75,1.48,0.05,0,reviewed,hv,hv
1971-03-09T00:23:31.950Z,19.0153333,-155.3153333,43.694,3.66,ml,18,268,,0.08,hv,hv19710614,2020-03-31T16:48:46.970Z,"Island of Hawaii, Hawaii",earthquake,1.06,2.21,0.09,0,reviewed,hv,hv
1971-03-17T06:53:33.340Z,19.8438333,-155.5406667,16.798,3.28,ml,21,140,,0.08,hv,hv19710693,2020-03-31T16:49:32.040Z,"24 km SE of Waimea, Hawaii",earthquake,0.95,9.21,0.32,0,reviewed,hv,hv
1971-03-28T09:04:51.240Z,19.8011667,-156.2626667,34.749,3.01,ml,15,297,,0.12,hv,hv19710785,2020-03-31T16:49:45.290Z,"Hawaii region, Hawaii",earthquake,1.96,3.24,,3,reviewed,hv,hv
1971-03-29T03:02:57.910Z,19.3385,-155.169,7.002,3.08,ml,19,143,,0.11,hv,hv19710789,2020-03-31T16:49:45.890Z,"13 km SSE of Volcano, Hawaii",earthquake,0.73,0.92,0.05,1,reviewed,hv,hv
1971-03-30T14:37:34.130Z,20.1566667,-156.6365,4.47,3.81,ml,18,325,,0.13,hv,hv19710802,2020-03-31T16:49:47.760Z,"58 km SSW of M?kena, Hawaii",earthquake,9.07,11.36,0.11,1,reviewed,hv,hv
1971-03-31T11:08:56.010Z,20.3298333,-156.1668333,5.953,3.63,ml,19,177,,0.1,hv,hv19710808,2020-03-31T16:49:48.640Z,"36 km WNW of H?w?, Hawaii",earthquake,2.85,3.84,0.47,1,reviewed,hv,hv
1971-04-05T08:57:45.230Z,19.3546667,-155.2148333,5.769,3.1,ml,17,131,,0.1,hv,hv19710852,2020-03-31T17:51:51.660Z,"9 km SSE of Volcano, Hawaii",earthquake,0.49,0.51,0.09,1,reviewed,hv,hv
1971-04-05T15:52:05.770Z,19.413,-155.1566667,32.917,3.1,ml,17,82,,0.1,hv,hv19710854,2020-03-31T17:51:51.960Z,"6 km SSW of Fern Forest, Hawaii",earthquake,0.87,1.36,0.14,0,reviewed,hv,hv
1971-04-12T13:14:40.430Z,19.3376667,-155.1311667,6.412,3.32,ml,19,144,,0.11,hv,hv19710905,2020-03-31T17:51:59.220Z,"14 km S of Fern Forest, Hawaii",earthquake,0.68,1.5,0.05,0,reviewed,hv,hv
1971-04-14T20:02:32.440Z,19.1561667,-155.6041667,10.737,3.11,ml,15,231,,0.11,hv,hv19710922,2020-03-31T17:34:57.380Z,"9 km N of Wai‘?hinu, Hawaii",earthquake,1.83,1.1,0.06,0,reviewed,hv,hv
1971-04-17T11:08:30.630Z,18.8506667,-155.0401667,32.197,3.19,ml,12,309,,0.23,hv,hv19710935,2020-03-31T17:34:59.260Z,"60 km SE of P?hala, Hawaii",earthquake,3.46,12.01,0.02,2,reviewed,hv,hv
1971-04-21T10:06:23.250Z,19.1738333,-155.439,7.711,3.51,ml,15,164,,0.31,hv,hv19710949,2020-03-31T17:35:01.240Z,"5 km SE of P?hala, Hawaii",earthquake,2.04,1,0.21,0,reviewed,hv,hv
1971-04-25T18:03:02.080Z,19.3678333,-155.256,9.531,3.96,ml,17,61,,0.05,hv,hv19710981,2020-03-31T17:35:05.750Z,"8 km SSW of Volcano, Hawaii",earthquake,0.54,0.44,0.04,2,reviewed,hv,hv
1971-04-26T09:56:13.340Z,19.3798333,-155.263,23.346,4.48,ml,19,85,,0.07,hv,hv19710992,2020-03-31T17:35:07.300Z,"7 km SSW of Volcano, Hawaii",earthquake,0.74,1.07,0.18,3,reviewed,hv,hv
1971-04-28T04:06:17.820Z,19.6906667,-156.2525,32.9,3.37,ml,24,278,,0.1,hv,hv19711038,2020-03-31T17:35:14.180Z,"27 km WNW of Kailua-Kona, Hawaii",earthquake,1.54,1.19,0.17,2,reviewed,hv,hv
1971-05-07T07:05:05.260Z,19.9636667,-155.3593333,9.89,3.11,ml,24,263,,0.1,hv,hv19711157,2020-03-31T18:09:47.950Z,"8 km S of Pa‘auilo, Hawaii",earthquake,1.55,0.53,0.14,1,reviewed,hv,hv
1971-05-08T15:10:59.290Z,19.3791667,-155.2571667,28.496,3.11,ml,23,68,,0.1,hv,hv19711168,2020-03-31T18:09:49.540Z,"7 km SSW of Volcano, Hawaii",earthquake,0.72,0.9,0.23,0,reviewed,hv,hv
1971-05-12T02:00:02.830Z,18.9371667,-155.5533333,38.843,4.72,ml,19,253,,0.08,hv,hv19711210,2020-03-31T18:10:31.340Z,"14 km S of Naalehu, Hawaii",earthquake,1.74,2.25,0.02,2,reviewed,hv,hv
1971-05-14T06:29:06.450Z,19.9466667,-156.1903333,39.916,4.2,ml,27,205,,0.09,hv,hv19711236,2020-03-31T18:10:34.900Z,"32 km NW of Kalaoa, Hawaii",earthquake,1.45,2.2,0.12,4,reviewed,hv,hv
1971-05-18T05:59:44.840Z,19.4276667,-155.4603333,9.59,3.06,ml,22,78,,0.1,hv,hv19711279,2020-03-31T18:17:13.630Z,"23 km W of Volcano, Hawaii",earthquake,0.48,0.78,0.19,0,reviewed,hv,hv
1971-05-26T22:56:10.370Z,19.0528333,-155.2626667,44.394,3.81,ml,24,221,,0.1,hv,hv19711404,2020-03-31T18:18:10.320Z,"28 km SE of P?hala, Hawaii",earthquake,1.41,1.54,0.15,0,reviewed,hv,hv
1971-06-07T00:19:05.800Z,19.4635,-155.2438333,28.711,3.01,ml,24,47,,0.11,hv,hv19711613,2020-03-31T16:50:47.910Z,"2 km NNW of Volcano, Hawaii",earthquake,0.56,1.02,0.04,0,reviewed,hv,hv
1971-06-09T15:32:24.670Z,18.9493333,-155.1938333,36.79,3.99,ml,26,246,,0.11,hv,hv19711671,2020-03-31T16:41:11.850Z,"41 km SE of P?hala, Hawaii",earthquake,1.78,2.73,0.03,3,reviewed,hv,hv
1971-06-12T03:29:46.300Z,19.3906667,-155.2831667,2.341,3.15,ml,22,40,,0.12,hv,hv19711734,2020-03-31T16:41:20.820Z,"7 km SW of Volcano, Hawaii",earthquake,0.33,0.36,0.38,2,reviewed,hv,hv
1971-06-17T02:23:40.950Z,19.7765,-156.3378333,23.658,3.53,ml,18,316,,0.12,hv,hv19711981,2020-03-31T16:41:56.200Z,"37 km W of Kalaoa, Hawaii",earthquake,3.74,5.82,0.29,2,reviewed,hv,hv
1971-06-17T02:50:53.380Z,19.7008333,-156.2108333,34.519,3.1,ml,12,309,,0.11,hv,hv19711985,2020-03-31T16:41:56.740Z,"23 km WNW of Kailua-Kona, Hawaii",earthquake,3.05,5.78,0.15,1,reviewed,hv,hv
1971-06-20T08:38:29.320Z,19.3273333,-155.1086667,8.262,3.46,ml,21,149,,0.17,hv,hv19712033,2020-03-31T16:42:03.630Z,"15 km S of Fern Forest, Hawaii",earthquake,0.84,1,0.02,0,reviewed,hv,hv
1971-06-24T08:10:07.470Z,19.3741667,-155.4293333,7.583,3.37,ml,21,70,,0.13,hv,hv19712106,2020-03-31T16:42:14.340Z,"19 km NNE of P?hala, Hawaii",earthquake,0.54,1,0.24,0,reviewed,hv,hv
1971-06-26T14:58:11.530Z,19.4,-155.4116667,6.203,3.09,ml,16,215,,0.05,hv,hv19712153,2020-03-31T16:42:20.910Z,"19 km WSW of Volcano, Hawaii",earthquake,1.19,3.78,0.19,2,reviewed,hv,hv
1971-06-26T20:12:43.670Z,20.1101667,-155.5498333,36.35,3.45,ml,20,264,,0.1,hv,hv19712156,2020-03-31T16:42:21.340Z,"2 km ESE of Kukuihaele, Hawaii",earthquake,3.53,3.24,0.14,0,reviewed,hv,hv
1971-06-27T02:49:29.050Z,19.3176667,-155.7935,8.955,3.15,ml,20,171,,0.09,hv,hv19712159,2020-03-31T16:42:21.770Z,"17 km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.89,0.61,0.04,1,reviewed,hv,hv
1971-06-27T12:20:54.790Z,19.3991667,-155.4023333,3.106,3.33,ml,11,70,,0.13,hv,hv19712171,2020-03-31T16:42:23.520Z,"18 km WSW of Volcano, Hawaii",earthquake,0.6,9.14,0.15,2,reviewed,hv,hv
1971-07-03T03:26:05.500Z,19.909,-153.8816667,36.475,4.8,ml,26,327,,0.12,hv,hv19712252,2020-03-31T16:47:32.060Z,"115 km ENE of Hawaiian Beaches, Hawaii",earthquake,2.36,2.92,0.05,2,reviewed,hv,hv
1971-07-03T06:03:13.270Z,19.3363333,-155.128,7.432,3.5,ml,25,146,,0.1,hv,hv19712255,2020-03-31T16:47:32.520Z,"14 km S of Fern Forest, Hawaii",earthquake,0.58,0.72,0.15,4,reviewed,hv,hv
1971-07-03T19:16:15.790Z,19.417,-155.4023333,10.043,3.88,ml,24,70,,0.12,hv,hv19712274,2020-03-31T16:47:35.230Z,"17 km W of Volcano, Hawaii",earthquake,0.46,0.57,0.01,2,reviewed,hv,hv
1971-07-03T22:15:46.660Z,19.7895,-156.1486667,4.398,3.03,ml,15,305,,0.18,hv,hv19712278,2020-03-31T16:47:35.800Z,"18 km WNW of Kalaoa, Hawaii",earthquake,8.54,11.57,0.15,0,reviewed,hv,hv
1971-07-05T10:16:44.810Z,19.3131667,-155.2153333,9.773,3.52,ml,24,153,,0.08,hv,hv19712303,2020-03-31T16:47:39.340Z,"14 km S of Volcano, Hawaii",earthquake,0.63,0.66,0.05,4,reviewed,hv,hv
1971-07-08T06:16:48.690Z,19.645,-156.0771667,7.747,4.02,ml,24,256,,0.12,hv,hv19712355,2020-03-31T16:47:46.740Z,"8 km W of Kailua-Kona, Hawaii",earthquake,1.79,2.85,0.17,2,reviewed,hv,hv
1971-07-14T18:43:38.450Z,19.3895,-155.2803333,1.981,3.11,ml,16,62,,0.1,hv,hv19712467,2020-03-31T16:48:20.820Z,"7 km SW of Volcano, Hawaii",earthquake,0.4,0.31,0.1,0,reviewed,hv,hv
1971-07-22T12:08:38.540Z,19.8361667,-155.8043333,14.515,3.37,ml,21,166,,0.15,hv,hv19712588,2020-03-31T16:42:46.870Z,"11 km S of Waikoloa, Hawaii",earthquake,1.23,17.55,0.09,1,reviewed,hv,hv
1971-07-25T03:15:33.320Z,20.1158333,-155.808,22.035,3.03,ml,22,241,,0.08,hv,hv19712667,2020-03-31T16:42:58.370Z,"13 km S of Kapaau, Hawaii",earthquake,2.18,2.63,0.15,1,reviewed,hv,hv
1971-07-27T01:08:50.830Z,19.4483333,-155.4441667,4.79,3.49,ml,18,125,,0.11,hv,hv19712702,2020-03-31T16:49:52.660Z,"22 km W of Volcano, Hawaii",earthquake,0.54,1.71,,0,reviewed,hv,hv
1971-07-29T06:15:09.760Z,19.3406667,-155.0518333,8.176,3.56,ml,23,107,,0.07,hv,hv19712751,2020-03-31T16:49:59.810Z,"16 km SSE of Fern Forest, Hawaii",earthquake,0.78,0.48,0.11,5,reviewed,hv,hv
1971-07-30T05:17:23.470Z,20.1208333,-155.817,22.995,3.38,ml,20,138,,0.1,hv,hv19712808,2020-03-31T16:43:00.490Z,"12 km S of Kapaau, Hawaii",earthquake,0.73,1.65,0.05,1,reviewed,hv,hv
1971-07-31T03:23:32.420Z,19.39,-155.284,1.711,3.23,ml,15,55,,0.13,hv,hv19712848,2020-03-31T16:43:06.020Z,"7 km SW of Volcano, Hawaii",earthquake,0.38,0.5,0.04,0,reviewed,hv,hv
1971-07-31T21:38:00.240Z,19.3553333,-155.2518333,8.111,3.19,ml,25,125,,0.15,hv,hv19712857,2020-03-31T16:43:07.290Z,"9 km S of Volcano, Hawaii",earthquake,0.67,0.46,0.04,0,reviewed,hv,hv
1971-08-01T11:38:23.600Z,19.502,-155.8566667,8.194,3.66,ml,25,125,,0.09,hv,hv19712861,2020-03-31T18:18:23.360Z,"5 km N of Honaunau-Napoopoo, Hawaii",earthquake,1.03,0.88,0.14,4,reviewed,hv,hv
